YEAR,ID,WRKSTAT,HRS1,HRS2,EVWORK,OCC,PRESTIGE,WRKSLF,INDUSTRY,MARITAL,AGEWED,DIVORCE,SPWRKSTA,SPHRS1,SPHRS2,SPEVWORK,SPOCC,SPPRES,SPWRKSLF,SPIND,PAOCC16,PAPRES16,PAWRKSLF,PAIND16,SIBS,CHILDS,AGE,EDUC,PAEDUC,MAEDUC,SPEDUC,DEGREE,PADEG,MADEG,SPDEG,SEX,RACE,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,MAWORK,MAWKBABY,MAWK16,INCOM16,HOMPOP,BABIES,PRETEEN,TEENS,ADULTS,UNRELAT,EARNRS,INCOME,RINCOME,REGION,XNORCSIZ,SRCBELT,SIZE,DOTDATA,DOTPEOP,DOTTHNG,DOTGED,DOTSVP,DOTPRES,SPDOTDAT,SPDOTPEO,SPDOTTHN,SPDOTGED,SPDOTSVP,SPDOTPRE,PADOTDAT,PADOTPEO,PADOTTHN,PADOTGED,PADOTSVP,PADOTPRE,PARTYID,VOTE72,PRES72,IF72WHO,POLVIEWS,NATSPAC,NATENVIR,NATHEAL,NATCITY,NATCRIME,NATDRUG,NATEDUC,NATRACE,NATARMS,NATAID,NATFARE,TAX,SPKATH,COLATH,LIBATH,SPKRAC,COLRAC,LIBRAC,SPKCOM,COLCOM,LIBCOM,SPKMIL,COLMIL,LIBMIL,SPKHOMO,COLHOMO,LIBHOMO,CAPPUN,GUNLAW,GUNIMP,COURTS,GRASS,USWAR,USWARY,USINTL,USUN,COMMUN,RELIG,DENOM,OTHER,FUND,ATTEND,RELITEN,POSTLIFE,RELIG16,DENOM16,OTH16,FUND16,SPREL,SPDEN,SPOTHER,SPFUND,SPREL16,SPDEN16,SPOTH16,SPFUND16,RACMAR,RACDIN,RACPUSH,RACSEG,RACOPEN,RACLIVE,RACCLOS,RACDIS,RACINTEG,RACHOME,RACSCHOL,BUSING,HAPPY,HAPMAR,HEALTH,LIFE,HELPFUL,FAIR,TRUST,SATCITY,SATHOBBY,SATFAM,SATFRND,SATHEALT,CONFINAN,CONBUS,CONCLERG,CONEDUC,CONFED,CONLABOR,CONPRESS,CONMEDIC,CONTV,CONJUDGE,CONSCI,CONLEGIS,CONARMY,MANNERS,SUCCESS,HONEST,CLEAN,JUDGMENT,CONTROL,ROLE,AMICABLE,OBEYS,RESPONSI,CONSIDER,INTEREST,STUDIOUS,AGED,ANOMIA1,ANOMIA2,ANOMIA3,ANOMIA4,ANOMIA5,ANOMIA6,ANOMIA7,ANOMIA8,ANOMIA9,SATJOB,RICHWORK,JOBINC,JOBSEC,JOBHOUR,JOBPROMO,JOBMEANS,CLASS,SATFIN,FINALTER,FINRELA,WKSUB,WKSUBS,WKSUP,WKSUPS,UNEMP,GOVAID,UNION,GETAHEAD,ABDEFECT,ABNOMORE,ABHLTH,ABPOOR,ABRAPE,ABSINGLE,CHLDIDEL,CHLDMORE,CHLDNUM,CHLDSOON,DIVLAW,XMARSEX,HOMOSEX,PORNINF,PORNMORL,PORNRAPE,PORNOUT,PORNLAW,XMOVIE,HIT,HITAGE,HITNUM,GUN,GUNAGE,GUNNUM,HITOK,HITMARCH,HITDRUNK,HITCHILD,HITBEATR,HITROBBR,POLHITOK,POLABUSE,POLMURDR,POLESCAP,POLATTAK,FEAR,BURGLR,ROBBRY,OWNGUN,PISTOL,SHOTGUN,RIFLE,TICKET,ARREST,PHONE,COOP,COMPREND,FORM,POVLINE,INCDEF,REALINC,REALRINC,ETHNIC,ETHNUM,WORDA,WORDB,WORDC,WORDD,WORDE,WORDF,WORDG,WORDH,WORDI,WORDJ,WORDSUM,RELATE1,GENDER1,OLD1,MAR1,AWAY1,WHERE1,RELATE2,GENDER2,OLD2,MAR2,AWAY2,WHERE2,RELATE3,GENDER3,OLD3,MAR3,AWAY3,WHERE3,RELATE4,GENDER4,OLD4,MAR4,AWAY4,WHERE4,RELATE5,GENDER5,OLD5,MAR5,AWAY5,WHERE5,RELATE6,GENDER6,OLD6,MAR6,RELATE7,GENDER7,OLD7,MAR7,RELATE8,GENDER8,OLD8,MAR8,RELATE9,GENDER9,OLD9,RELATE10,GENDER10,OLD10,RELATE11,GENDER11,OLD11,MAR11,AWAY11,WHERE11,RELATE12,GENDER12,OLD12,MAR12,RELATE13,GENDER13,OLD13,MAR13,RELATE14,GENDER14,OLD14,HHRACE,RESPNUM,HHTYPE,HHTYPE1,FAMGEN,RPLACE,RVISITOR,VISITOR,DATEINTV,ISCO68,PAISCO68,SPISCO68,COHORT,MARCOHRT,BIRTHMO,ZODIAC,FORMWT,SAMPCODE,SAMPLE,OVERSAMP,I_SEX,I_AGE,I_EDUC,I_RELIGION,I_REGION,I_ATTEND
1976,1,2,16,,,372,46,2,429,1,23,2,1,50,,,245,50,1,697,944,33,1,787,1,1,56,12,8,8,12,1,0,0,1,2,1,4,1,1,1,,1,2,1,3,2,0,0,0,2,0,2,13,13,1,3,3,27,2.98,6.03,7.98,4,5.98,47.7,1.208888889,5.95,7.74,4.018888889,6.75,44.5,2.06,6.82,1.87,3.94,5.95,38.5,1,1,1,,6,3,1,1,1,1,1,1,2,2,2,2,1,1,5,1,1,5,1,1,4,1,1,5,1,1,5,1,1,1,1,2,2,2,,1,1,1,2,,,2,7,3,1,2,,,2,2,,,2,2,,,2,2,3,2,3,2,2,,,,2,1,2,1,1,1,2,3,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,8,1,2,2,2,5,3,2,4,1,3,4,3,3,2,3,3,3,2,2,2,1,1,2,2,1,1,2,1,1,1,4,5,3,2,3,9,9,9,1,3,1,4,2,2,4,1,1,2,1,2,1,8,8,2,,,2,1,1,1,1,2,1,1,2,2,,,2,,,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,3,3,3,1,4,,,,15,1,1,1,9,1,1,1,1,1,1,0,8,1,1,56,1,,,2,2,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,1,2,1,0,309,3211,5700,2190,1920,1943,6,4,1,101,3,1,2,3,2,2,1,4
1976,2,7,,,1,345,45,2,339,1,20,2,1,70,,,280,34,2,387,280,34,2,568,1,1,51,12,12,12,12,1,1,1,1,2,1,1,1,2,1,,1,2,1,3,2,0,0,0,2,0,1,12,,1,3,3,27,4.25,7.468888889,3,3.33,4.598888889,39.86666667,3.528888889,5.62,7.86,3.398888889,4.098888889,37.5,3.528888889,5.62,7.86,3.398888889,4.098888889,37.5,3,2,,3,5,2,2,2,1,1,3,3,3,3,3,3,1,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,1,2,2,1,,2,1,1,3,1,50,,3,1,2,8,1,50,,3,4,,,3,2,,,2,2,3,4,4,1,1,2,2,2,2,1,2,2,2,2,2,3,2,1,5,3,1,1,2,2,3,3,3,3,3,2,2,3,3,1,3,3,3,4,3,4,3,3,5,3,3,2,1,2,3,1,1,1,2,2,1,1,1,1,1,2,,4,5,3,2,1,3,2,3,4,2,,2,,2,2,4,2,1,1,1,1,1,1,2,2,,,1,1,4,2,2,2,1,8,2,2,,,2,,,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,9,3,1,1,2,3,8,79340,,8,2,1,1,1,1,1,1,1,1,1,0,9,1,1,61,1,,,2,2,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,1,2,1,0,506,3220,4510,4510,1925,1945,11,8,1,101,3,1,2,3,2,1,1,2
1976,3,1,48,,,12,69,2,917,1,23,2,2,20,,,372,46,2,667,751,17,2,67,3,3,41,16,12,12,12,3,1,1,1,1,1,5,1,1,1,,1,9,9,3,5,0,1,2,2,0,3,12,12,1,3,3,27,0.41,7.78,2,5.67,7.82,67.9,2.98,6.03,7.98,4,5.98,47.7,6.888888889,7.98,5.298888889,2.25,3.318888889,20.5,5,1,2,,6,1,1,1,3,1,8,2,3,1,3,3,1,1,8,8,1,8,8,1,8,8,9,8,9,1,8,8,1,1,4,2,2,2,,1,1,2,2,,,2,3,2,8,2,,,2,2,,,2,2,,,2,2,3,2,3,1,1,9,1,2,1,1,2,1,2,1,2,2,2,1,3,3,3,3,3,1,1,3,2,2,2,2,2,3,2,1,2,1,2,5,1,3,3,3,3,3,2,3,3,3,4,2,2,2,2,2,2,2,1,2,2,1,2,3,5,4,2,1,3,1,1,4,1,3,1,3,2,2,4,1,1,1,1,1,1,1,3,2,,,3,2,2,2,1,2,2,2,2,2,,,2,,,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,3,2,1,3,8,79340,81652,15,1,1,1,0,1,1,1,1,0,1,0,7,1,1,41,1,,,2,2,40,1,,,3,1,17,5,,,3,1,15,5,,,3,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,11,2,1,1,0,322,230,9595,3211,1935,1958,1,10,1,101,3,1,1,2,4,2,1,2
1976,4,1,42,,,961,44,2,937,1,21,2,7,,,1,321,36,2,609,375,36,2,709,2,2,55,12,10,14,12,1,0,1,1,1,1,3,1,1,1,,2,,,3,5,0,0,0,5,0,2,10,9,1,3,3,27,5.848888889,7.4,4.78,3.208888889,6.08,41.2,2.46,6.508888889,7.79,4.128888889,5.49,48.26666667,3.37,7.58,7.718888889,3.42,4.218888889,41.5,5,1,2,,4,2,1,2,2,1,2,2,2,2,2,3,2,1,5,2,1,5,2,1,4,2,1,5,1,1,5,2,1,1,3,2,2,2,,1,1,1,2,,,2,1,2,1,2,,,2,2,,,2,2,,,2,2,3,2,4,1,2,,,,2,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,3,4,3,5,1,3,3,3,3,2,3,2,4,1,2,2,2,2,2,2,2,2,2,1,2,3,1,5,4,2,3,2,1,3,1,3,2,,2,1,1,1,1,1,1,1,1,1,4,2,,,3,2,1,2,1,1,2,1,2,2,,,2,,,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,1,1,1,3,7,35651,25465,21,1,1,1,0,1,1,1,1,1,1,0,8,1,1,54,1,,,2,2,54,1,,,3,1,28,5,,,3,2,22,5,,,7,2,98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,102,1,2,1,1,0,314,5810,3390,3990,1921,1942,5,2,1,101,3,1,1,3,2,2,1,2
1976,5,1,30,,,240,60,2,857,1,24,2,7,,,1,372,46,2,709,144,63,2,857,5,3,32,18,20,10,12,4,4,0,1,1,1,6,1,1,1,,2,,,3,5,3,0,0,2,0,1,11,11,1,3,3,27,1.188888889,1.43,7.88,5.75,7.928888889,71.2,2.98,6.03,7.98,4,5.98,47.7,1.9,2.02,8,4.99,6.96,62.7,2,1,3,,5,1,1,1,3,2,3,3,3,3,3,3,1,1,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,1,2,2,1,,2,2,2,1,2,,,2,3,2,1,2,,,2,2,,,2,2,,,2,2,3,2,4,2,2,,,,1,1,2,1,1,1,1,1,1,2,4,2,1,1,1,3,3,2,2,3,3,2,3,3,2,2,2,3,3,4,1,3,3,3,4,3,3,2,2,3,5,1,2,1,2,1,1,2,1,1,2,1,2,9,9,9,9,9,3,1,1,1,1,3,1,3,2,2,4,2,8,8,8,8,1,8,8,2,,,1,2,3,1,1,2,1,2,1,2,,,2,,,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,2,1,2,3,7,45837,45837,15,1,1,1,0,1,1,1,1,1,1,1,9,1,1,31,1,,,2,2,30,1,,,3,2,5,,,,3,1,4,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,11,2,1,1,0,306,1391,1320,3211,1944,1968,12,9,1,101,3,1,1,2,5,2,1,2
1976,6,5,,,1,384,44,2,448,5,,,,,,,,,,,442,36,2,,2,0,70,6,98,98,97,0,0,8,7,2,1,2,1,2,1,,1,1,1,2,2,0,0,0,2,1,0,1,,1,2,2,158,4.75,7.23,6.378888889,3.5,4.168888889,40.5,,,,,,,5.83,8,2.548888889,3.14,5.588888889,35,2,1,2,,7,2,2,2,2,1,1,2,2,2,3,2,2,1,4,2,8,4,2,2,4,1,2,5,1,2,5,1,8,1,1,3,2,,8,1,1,1,2,,,2,4,2,1,2,,,2,,,,,,,,,2,2,4,1,1,1,2,3,8,2,1,1,1,,2,1,1,2,2,2,4,5,2,4,2,1,3,1,2,2,2,2,2,1,8,1,1,3,4,2,3,1,3,4,3,3,2,3,5,3,2,2,2,8,1,2,1,2,1,1,,,5,2,4,3,1,3,1,1,3,,,,,2,2,1,1,1,1,1,1,2,1,2,4,,,1,3,1,2,2,2,2,1,2,2,,,2,,,2,2,2,2,2,2,1,2,2,2,8,1,2,2,2,2,2,2,2,2,3,1,1,2,1,3,1019,,2,1,1,1,9,1,1,1,1,1,1,0,8,1,2,69,5,,,8,2,86,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,6,1,1,1,0,327,3801,8311,,1906,,12,9,1,103,3,1,2,4,1,2,1,3
1976,7,1,60,,,650,29,2,227,1,24,2,7,,,1,610,36,2,227,410,36,2,227,3,2,31,12,6,6,12,1,0,0,1,1,1,4,1,1,1,,1,1,1,3,4,2,0,0,2,0,2,7,4,1,2,2,158,6.548888889,8,2.188888889,3.028888889,4.058888889,32.26666667,4.62,7.928888889,4.96,2.87,3.95,34.36666667,3.48,7.888888889,1.43,3.08,7.67,35.5,1,2,,3,4,1,1,1,1,1,1,1,3,3,3,3,1,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,1,1,2,2,1,,1,1,1,2,,,2,4,2,1,2,,,2,2,,,2,2,,,2,2,3,1,1,1,2,,,,2,1,2,2,1,1,1,2,1,2,6,1,1,4,1,2,3,2,3,3,3,2,3,2,3,2,3,1,5,3,1,3,3,3,4,3,2,3,3,2,4,2,1,1,2,2,1,2,1,1,1,2,1,4,3,2,5,1,2,3,1,3,1,3,2,,1,1,4,3,1,2,1,2,2,2,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,,,1,2,2,1,1,2,1,2,2,1,1,1,2,2,1,2,1,1,1,2,3,1,2,1,3,5,15279,9167,21,1,1,0,0,1,0,0,0,0,1,0,3,1,1,30,1,,,2,2,24,1,,,3,2,5,,,,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,11,2,1,1,0,403,8340,9510,9490,1945,1969,10,7,1,103,3,1,1,2,2,2,1,3
1976,8,1,40,,,653,29,2,208,1,34,2,2,20,,,902,12,2,707,753,17,2,139,3,1,62,10,0,0,11,0,0,0,0,1,1,4,1,1,1,,2,,,2,3,0,0,0,3,0,3,9,8,1,2,2,158,4.848888889,7.888888889,2.758888889,3.2,4.71,35.6,6.428888889,7.54,6.928888889,2.25,2.56,18.16666667,6.58,7.86,6.718888889,2.168888889,2.94,23,0,1,1,,4,3,1,1,1,1,1,2,2,1,3,2,2,1,5,2,1,4,2,1,4,2,2,5,1,1,4,1,2,1,2,2,2,2,,1,1,1,2,,,2,5,1,1,2,,,2,2,,,2,2,,,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,3,2,2,1,2,2,3,2,2,4,2,2,1,1,1,2,2,1,2,2,1,1,1,5,3,2,4,4,3,3,3,1,3,2,3,3,2,2,1,1,1,1,1,1,1,1,2,1,3,2,4,5,1,2,2,2,3,1,3,2,,1,1,1,3,2,1,1,1,1,1,2,2,,,2,1,1,1,1,1,2,1,2,2,,,1,2,9,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,3,1,1,1,3,6,25465,18335,21,1,1,0,0,1,1,1,0,1,1,0,6,1,1,61,1,,,2,2,55,1,,,3,1,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,41,1,2,1,1,0,328,8490,9711,5520,1914,1948,6,4,1,103,3,1,1,4,1,2,1,3
1976,9,7,,,1,280,34,2,718,1,23,2,2,30,,,415,40,1,69,692,32,2,198,2,2,51,9,98,12,7,0,0,1,0,2,1,4,1,1,8,1,,,,3,3,0,0,0,3,0,2,9,,1,2,5,83,3.528888889,5.62,7.86,3.398888889,4.098888889,37.5,3.27,7.84,1.26,3.87,7.61,38.7,5.87,7.79,4.7,2.82,3.73,26.86666667,1,1,2,,5,3,1,1,1,1,1,1,1,1,3,3,2,1,5,1,1,4,1,1,5,8,1,5,1,1,4,2,1,1,2,2,1,1,,1,1,2,2,,,2,1,2,2,2,,,2,2,,,2,2,,,2,2,3,3,3,2,1,1,2,2,2,1,2,2,2,3,2,2,1,1,6,2,2,1,4,2,1,2,2,2,3,2,1,2,2,2,2,1,3,2,3,3,1,3,5,3,3,2,3,3,3,2,2,2,1,2,1,1,1,1,2,2,,3,4,5,2,1,2,3,2,3,2,,2,,1,1,4,1,1,1,1,1,1,1,8,2,,,2,1,3,1,8,2,2,2,1,2,,,2,,,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,3,1,1,1,3,6,25465,,21,1,1,1,0,1,1,1,1,9,1,0,7,1,1,52,1,,,2,2,50,1,,,3,1,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,41,1,2,2,1,0,317,4510,8340,9540,1925,1948,11,8,1,105,3,1,2,3,1,2,1,2
1976,10,1,55,,,422,38,2,339,3,23,,,,,,,,,,454,48,2,157,2,1,29,12,12,12,97,1,1,1,7,1,1,4,1,1,1,,1,8,1,3,4,1,0,0,3,0,3,12,8,1,2,5,83,4.63,7.84,1.98,3.84,6.79,43.6,,,,,,,3.39,8,0.26,3.89,6.258888889,39.36666667,0,1,1,,4,3,1,1,2,1,1,1,2,3,3,3,2,1,4,2,1,5,2,1,5,2,1,4,2,1,5,2,1,1,1,2,1,,2,1,1,3,2,,,2,1,2,2,2,,,2,,,,,,,,,2,3,2,4,1,1,1,1,2,2,1,1,2,,2,1,1,1,1,4,2,2,2,2,2,3,2,2,2,2,2,1,3,2,1,2,2,1,3,3,4,3,4,5,3,2,3,2,3,3,1,2,2,2,1,1,2,2,1,2,2,2,2,1,5,3,4,3,1,3,3,1,4,2,,2,2,4,3,1,2,1,2,1,2,2,2,,,2,1,4,1,2,2,2,2,1,2,,,2,,,1,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,3,1,1,2,3,8,79340,18335,3,2,1,1,9,1,9,1,0,9,1,9,5,1,1,49,1,,,2,2,49,1,,,3,1,28,3,,,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,141,11,5,3,1,0,321,9211,8330,,1947,1970,5,3,1,105,3,1,1,1,2,2,1,2
